Player Name,Season,Number of Teams,Games In Season,Season Games Played,Season Goals,Season Assists,Season Points,Average Goals Per Game,Shots,Shots Per Game,Shooting Percentage,Save Percentage,Goals Against,Team,Player Games Played,Player Goals,Player Assists,Player Points,Position
Jean Béliveau,1954-1955,,,,,,,,,,,,,MTL,70,37,36,73,C
Jean Béliveau,1955-1956,,,,,,,,,,,,,MTL,70,47,41,88,C
Jean Béliveau,1956-1957,,,,,,,,,,,,,MTL,69,33,51,84,C
Jean Béliveau,1957-1958,,,,,,,,,,,,,MTL,55,27,32,59,C
Jean Béliveau,1958-1959,,,,,,,,,,,,,MTL,64,45,46,91,C
Jean Béliveau,1959-1960,,,,,,,,,,,,,MTL,60,34,40,74,C
Jean Béliveau,1960-1961,,,,,,,,,,,,,MTL,69,32,58,90,C
Jean Béliveau,1961-1962,,,,,,,,,,,,,MTL,43,18,23,41,C
Jean Béliveau,1962-1963,,,,,,,,,,,,,MTL,69,18,49,67,C
Jean Béliveau,1963-1964,,,,,,,,,,,,,MTL,68,28,50,78,C
Jean Béliveau,1964-1965,,,,,,,,,,,,,MTL,58,20,23,43,C
Jean Béliveau,1965-1966,,,,,,,,,,,,,MTL,67,29,48,77,C
Jean Béliveau,1966-1967,,,,,,,,,,,,,MTL,53,12,26,38,C
Jean Béliveau,1967-1968,,,,,,,,,,,,,MTL,59,31,37,68,C
Jean Béliveau,1968-1969,,,,,,,,,,,,,MTL,69,33,49,82,C
Jean Béliveau,1969-1970,,,,,,,,,,,,,MTL,63,19,30,49,C
Jean Béliveau,1970-1971,,,,,,,,,,,,,MTL,70,25,51,76,C
Dickie Moore,1951-1952,,,,,,,,,,,,,MTL,33,18,15,33,LW
Dickie Moore,1952-1953,,,,,,,,,,,,,MTL,18,2,6,8,LW
Dickie Moore,1953-1954,,,,,,,,,,,,,MTL,13,1,4,5,LW
Dickie Moore,1954-1955,,,,,,,,,,,,,MTL,67,16,20,36,LW
Dickie Moore,1955-1956,,,,,,,,,,,,,MTL,70,11,38,49,LW
Dickie Moore,1956-1957,,,,,,,,,,,,,MTL,70,29,29,58,LW
Dickie Moore,1957-1958,,,,,,,,,,,,,MTL,70,36,48,84,LW
Dickie Moore,1958-1959,,,,,,,,,,,,,MTL,70,41,55,96,LW
Dickie Moore,1959-1960,,,,,,,,,,,,,MTL,62,22,42,64,LW
Dickie Moore,1960-1961,,,,,,,,,,,,,MTL,57,35,34,69,LW
Dickie Moore,1961-1962,,,,,,,,,,,,,MTL,57,19,22,41,LW
Dickie Moore,1962-1963,,,,,,,,,,,,,MTL,67,24,26,50,LW
Dickie Moore,1964-1965,,,,,,,,,,,,,TOR,38,2,4,6,LW
Dickie Moore,1967-1968,,,,,,,,,,,,,STL,27,5,3,8,LW
Andy Bathgate,1952-1953,,,,,,,,,,,,,NYR,18,0,1,1,RW
Andy Bathgate,1953-1954,,,,,,,,,,,,,NYR,20,2,2,4,RW
Andy Bathgate,1954-1955,,,,,,,,,,,,,NYR,70,20,20,40,RW
Andy Bathgate,1955-1956,,,,,,,,,,,,,NYR,70,19,47,66,RW
Andy Bathgate,1956-1957,,,,,,,,,,,,,NYR,70,27,50,77,RW
Andy Bathgate,1957-1958,,,,,,,,,,,,,NYR,65,30,48,78,RW
Andy Bathgate,1958-1959,,,,,,,,,,,,,NYR,70,40,48,88,RW
Andy Bathgate,1959-1960,,,,,,,,,,,,,NYR,70,26,48,74,RW
Andy Bathgate,1960-1961,,,,,,,,,,,,,NYR,70,29,48,77,RW
Andy Bathgate,1961-1962,,,,,,,,,,,,,NYR,70,28,56,84,RW
Andy Bathgate,1962-1963,,,,,,,,,,,,,NYR,70,35,46,81,RW
Andy Bathgate,1963-1964,,,,,,,,,,,,,TOR,71,19,58,77,RW
Andy Bathgate,1964-1965,,,,,,,,,,,,,TOR,55,16,29,45,RW
Andy Bathgate,1965-1966,,,,,,,,,,,,,DET,70,15,32,47,RW
Andy Bathgate,1966-1967,,,,,,,,,,,,,DET,60,8,23,31,C
Andy Bathgate,1967-1968,,,,,,,,,,,,,PIT,74,20,39,59,RW
Andy Bathgate,1970-1971,,,,,,,,,,,,,PIT,76,15,29,44,RW
Andy Bathgate,1974-1975,,,,,,,,,,,,,VNB,11,1,6,7,RW
Henri Richard,1955-1956,,,,,,,,,,,,,MTL,64,19,21,40,C
Henri Richard,1956-1957,,,,,,,,,,,,,MTL,63,18,36,54,C
Henri Richard,1957-1958,,,,,,,,,,,,,MTL,67,28,52,80,C
Henri Richard,1958-1959,,,,,,,,,,,,,MTL,63,21,30,51,C
Henri Richard,1959-1960,,,,,,,,,,,,,MTL,70,30,43,73,C
Henri Richard,1960-1961,,,,,,,,,,,,,MTL,70,24,44,68,C
Henri Richard,1961-1962,,,,,,,,,,,,,MTL,53,21,29,50,C
Henri Richard,1962-1963,,,,,,,,,,,,,MTL,67,23,50,73,C
Henri Richard,1963-1964,,,,,,,,,,,,,MTL,66,14,39,53,C
Henri Richard,1964-1965,,,,,,,,,,,,,MTL,53,23,29,52,C
Henri Richard,1965-1966,,,,,,,,,,,,,MTL,62,22,39,61,C
Henri Richard,1966-1967,,,,,,,,,,,,,MTL,65,21,34,55,C
Henri Richard,1967-1968,,,,,,,,,,,,,MTL,54,9,19,28,C
Henri Richard,1968-1969,,,,,,,,,,,,,MTL,64,15,37,52,C
Henri Richard,1969-1970,,,,,,,,,,,,,MTL,62,16,36,52,C
Henri Richard,1970-1971,,,,,,,,,,,,,MTL,75,12,37,49,C
Henri Richard,1971-1972,,,,,,,,,,,,,MTL,78,12,32,44,C
Henri Richard,1972-1973,,,,,,,,,,,,,MTL,71,8,35,43,C
Henri Richard,1973-1974,,,,,,,,,,,,,MTL,75,19,36,55,C
Henri Richard,1974-1975,,,,,,,,,,,,,MTL,16,3,10,13,C
Johnny Bucyk,1955-1956,,,,,,,,,,,,,DET,38,1,8,9,LW
Johnny Bucyk,1956-1957,,,,,,,,,,,,,DET,66,10,11,21,LW
Johnny Bucyk,1957-1958,,,,,,,,,,,,,BOS,68,21,31,52,LW
Johnny Bucyk,1958-1959,,,,,,,,,,,,,BOS,69,24,36,60,LW
Johnny Bucyk,1959-1960,,,,,,,,,,,,,BOS,56,16,36,52,LW
Johnny Bucyk,1960-1961,,,,,,,,,,,,,BOS,70,19,20,39,LW
Johnny Bucyk,1961-1962,,,,,,,,,,,,,BOS,67,20,40,60,LW
Johnny Bucyk,1962-1963,,,,,,,,,,,,,BOS,69,27,39,66,LW
Johnny Bucyk,1963-1964,,,,,,,,,,,,,BOS,62,18,36,54,LW
Johnny Bucyk,1964-1965,,,,,,,,,,,,,BOS,68,26,29,55,LW
Johnny Bucyk,1965-1966,,,,,,,,,,,,,BOS,63,27,30,57,LW
Johnny Bucyk,1966-1967,,,,,,,,,,,,,BOS,59,18,30,48,LW
Johnny Bucyk,1967-1968,,,,,,,,,,,,,BOS,72,30,39,69,LW
Johnny Bucyk,1968-1969,,,,,,,,,,,,,BOS,70,24,42,66,LW
Johnny Bucyk,1969-1970,,,,,,,,,,,,,BOS,76,31,38,69,LW
Johnny Bucyk,1970-1971,,,,,,,,,,,,,BOS,78,51,65,116,LW
Johnny Bucyk,1971-1972,,,,,,,,,,,,,BOS,78,32,51,83,LW
Johnny Bucyk,1972-1973,,,,,,,,,,,,,BOS,78,40,53,93,LW
Johnny Bucyk,1973-1974,,,,,,,,,,,,,BOS,76,31,44,75,LW
Johnny Bucyk,1974-1975,,,,,,,,,,,,,BOS,78,29,52,81,LW
Johnny Bucyk,1975-1976,,,,,,,,,,,,,BOS,77,36,47,83,LW
Johnny Bucyk,1976-1977,,,,,,,,,,,,,BOS,49,20,23,43,LW
Johnny Bucyk,1977-1978,,,,,,,,,,,,,BOS,53,5,13,18,LW
Frank Mahovlich,1956-1957,,,,,,,,,,,,,TOR,3,1,0,1,LW
Frank Mahovlich,1957-1958,,,,,,,,,,,,,TOR,67,20,16,36,LW
Frank Mahovlich,1958-1959,,,,,,,,,,,,,TOR,63,22,27,49,LW
Frank Mahovlich,1959-1960,,,,,,,,,,,,,TOR,70,18,21,39,LW
Frank Mahovlich,1960-1961,,,,,,,,,,,,,TOR,70,48,36,84,C
Frank Mahovlich,1961-1962,,,,,,,,,,,,,TOR,70,33,38,71,C
Frank Mahovlich,1962-1963,,,,,,,,,,,,,TOR,67,36,37,73,C
Frank Mahovlich,1963-1964,,,,,,,,,,,,,TOR,70,26,29,55,LW
Frank Mahovlich,1964-1965,,,,,,,,,,,,,TOR,59,23,28,51,LW
Frank Mahovlich,1965-1966,,,,,,,,,,,,,TOR,68,32,24,56,LW
Frank Mahovlich,1966-1967,,,,,,,,,,,,,TOR,63,18,28,46,LW
Frank Mahovlich,1967-1968,,,,,,,,,,,,,DET,63,26,26,52,LW
Frank Mahovlich,1968-1969,,,,,,,,,,,,,DET,76,49,29,78,LW
Frank Mahovlich,1969-1970,,,,,,,,,,,,,DET,74,38,32,70,LW
Frank Mahovlich,1970-1971,,,,,,,,,,,,,MTL,73,31,42,73,LW
Frank Mahovlich,1971-1972,,,,,,,,,,,,,MTL,76,43,53,96,LW
Frank Mahovlich,1972-1973,,,,,,,,,,,,,MTL,78,38,55,93,LW
Frank Mahovlich,1973-1974,,,,,,,,,,,,,MTL,71,31,49,80,LW
Frank Mahovlich,1974-1975,,,,,,,,,,,,,TRT,73,38,44,82,C
Frank Mahovlich,1975-1976,,,,,,,,,,,,,TRT,75,34,55,89,LW
Frank Mahovlich,1976-1977,,,,,,,,,,,,,BRB,17,3,20,23,LW
Frank Mahovlich,1977-1978,,,,,,,,,,,,,BRB,72,14,24,38,LW
Bobby Hull,1957-1958,,,,,,,,,,,,,CBH,70,13,34,47,LW
Bobby Hull,1958-1959,,,,,,,,,,,,,CBH,70,18,32,50,LW
Bobby Hull,1959-1960,,,,,,,,,,,,,CBH,70,39,42,81,LW
Bobby Hull,1960-1961,,,,,,,,,,,,,CBH,67,31,25,56,LW
Bobby Hull,1961-1962,,,,,,,,,,,,,CBH,70,50,34,84,LW
Bobby Hull,1962-1963,,,,,,,,,,,,,CBH,65,31,31,62,LW
Bobby Hull,1963-1964,,,,,,,,,,,,,CBH,70,43,44,87,LW
Bobby Hull,1964-1965,,,,,,,,,,,,,CBH,61,39,32,71,LW
Bobby Hull,1965-1966,,,,,,,,,,,,,CBH,65,54,43,97,LW
Bobby Hull,1966-1967,,,,,,,,,,,,,CBH,66,52,28,80,LW
Bobby Hull,1967-1968,,,,,,,,,,,,,CBH,71,44,31,75,LW
Bobby Hull,1968-1969,,,,,,,,,,,,,CBH,74,58,49,107,LW
Bobby Hull,1969-1970,,,,,,,,,,,,,CBH,61,38,29,67,LW
Bobby Hull,1970-1971,,,,,,,,,,,,,CBH,78,44,52,96,LW
Bobby Hull,1971-1972,,,,,,,,,,,,,CBH,78,50,43,93,LW
Bobby Hull,1972-1973,,,,,,,,,,,,,WNJ,63,51,52,103,LW
Bobby Hull,1973-1974,,,,,,,,,,,,,WNJ,75,53,42,95,LW
Bobby Hull,1974-1975,,,,,,,,,,,,,WNJ,78,77,65,142,LW
Bobby Hull,1975-1976,,,,,,,,,,,,,WNJ,80,53,70,123,LW
Bobby Hull,1976-1977,,,,,,,,,,,,,WNJ,34,21,32,53,LW
Bobby Hull,1977-1978,,,,,,,,,,,,,WNJ,77,46,71,117,LW
Bobby Hull,1978-1979,,,,,,,,,,,,,WNJ,4,2,3,5,LW
Bobby Hull,1979-1980,,,,,,,,,,,,,WIN,27,6,11,17,LW
Stan Mikita,1958-1959,,,,,,,,,,,,,CBH,3,0,1,1,C
Stan Mikita,1959-1960,,,,,,,,,,,,,CBH,67,8,18,26,C
Stan Mikita,1960-1961,,,,,,,,,,,,,CBH,68,19,34,53,RW
Stan Mikita,1961-1962,,,,,,,,,,,,,CBH,70,25,52,77,RW
Stan Mikita,1962-1963,,,,,,,,,,,,,CBH,65,31,45,76,RW
Stan Mikita,1963-1964,,,,,,,,,,,,,CBH,70,39,50,89,C
Stan Mikita,1964-1965,,,,,,,,,,,,,CBH,70,28,59,87,C
Stan Mikita,1965-1966,,,,,,,,,,,,,CBH,68,30,48,78,C
Stan Mikita,1966-1967,,,,,,,,,,,,,CBH,70,35,62,97,C
Stan Mikita,1967-1968,,,,,,,,,,,,,CBH,72,40,47,87,C
Stan Mikita,1968-1969,,,,,,,,,,,,,CBH,74,30,67,97,C
Stan Mikita,1969-1970,,,,,,,,,,,,,CBH,76,39,47,86,C
Stan Mikita,1970-1971,,,,,,,,,,,,,CBH,74,24,48,72,C
Stan Mikita,1971-1972,,,,,,,,,,,,,CBH,74,26,39,65,C
Stan Mikita,1972-1973,,,,,,,,,,,,,CBH,57,27,56,83,C
Stan Mikita,1973-1974,,,,,,,,,,,,,CBH,76,30,50,80,C
Stan Mikita,1974-1975,,,,,,,,,,,,,CBH,79,36,50,86,C
Stan Mikita,1975-1976,,,,,,,,,,,,,CBH,48,16,41,57,C
Stan Mikita,1976-1977,,,,,,,,,,,,,CBH,57,19,30,49,C
Stan Mikita,1977-1978,,,,,,,,,,,,,CBH,76,18,41,59,C
Stan Mikita,1978-1979,,,,,,,,,,,,,CBH,65,19,36,55,C
Stan Mikita,1979-1980,,,,,,,,,,,,,CBH,17,2,5,7,C
Jean Ratelle,1960-1961,,,,,,,,,,,,,NYR,3,2,1,3,C
Jean Ratelle,1961-1962,,,,,,,,,,,,,NYR,31,4,8,12,C
Jean Ratelle,1962-1963,,,,,,,,,,,,,NYR,47,11,9,20,C
Jean Ratelle,1963-1964,,,,,,,,,,,,,NYR,15,0,7,7,C
Jean Ratelle,1964-1965,,,,,,,,,,,,,NYR,54,14,21,35,C
Jean Ratelle,1965-1966,,,,,,,,,,,,,NYR,67,21,30,51,C
Jean Ratelle,1966-1967,,,,,,,,,,,,,NYR,41,6,5,11,C
Jean Ratelle,1967-1968,,,,,,,,,,,,,NYR,74,32,46,78,C
Jean Ratelle,1968-1969,,,,,,,,,,,,,NYR,75,32,46,78,C
Jean Ratelle,1969-1970,,,,,,,,,,,,,NYR,75,32,42,74,C
Jean Ratelle,1970-1971,,,,,,,,,,,,,NYR,78,26,46,72,C
Jean Ratelle,1971-1972,,,,,,,,,,,,,NYR,63,46,63,109,C
Jean Ratelle,1972-1973,,,,,,,,,,,,,NYR,78,41,53,94,C
Jean Ratelle,1973-1974,,,,,,,,,,,,,NYR,68,28,39,67,C
Jean Ratelle,1974-1975,,,,,,,,,,,,,NYR,79,36,55,91,C
Jean Ratelle,1975-1976,,,,,,,,,,,,,NYR,80,36,69,105,C
Jean Ratelle,1976-1977,,,,,,,,,,,,,BOS,78,33,61,94,C
Jean Ratelle,1977-1978,,,,,,,,,,,,,BOS,80,25,59,84,C
Jean Ratelle,1978-1979,,,,,,,,,,,,,BOS,80,27,45,72,C
Jean Ratelle,1979-1980,,,,,,,,,,,,,BOS,67,28,45,73,C
Jean Ratelle,1980-1981,,,,,,,,,,,,,BOS,47,11,26,37,C
Dave Keon,1960-1961,,,,,,,,,,,,,TOR,70,20,25,45,C
Dave Keon,1961-1962,,,,,,,,,,,,,TOR,64,26,35,61,C
Dave Keon,1962-1963,,,,,,,,,,,,,TOR,68,28,28,56,C
Dave Keon,1963-1964,,,,,,,,,,,,,TOR,70,23,37,60,C
Dave Keon,1964-1965,,,,,,,,,,,,,TOR,65,21,29,50,C
Dave Keon,1965-1966,,,,,,,,,,,,,TOR,69,24,30,54,C
Dave Keon,1966-1967,,,,,,,,,,,,,TOR,66,19,33,52,C
Dave Keon,1967-1968,,,,,,,,,,,,,TOR,67,11,37,48,C
Dave Keon,1968-1969,,,,,,,,,,,,,TOR,75,27,34,61,C
Dave Keon,1969-1970,,,,,,,,,,,,,TOR,72,32,30,62,C
Dave Keon,1970-1971,,,,,,,,,,,,,TOR,76,38,38,76,C
Dave Keon,1971-1972,,,,,,,,,,,,,TOR,72,18,30,48,C
Dave Keon,1972-1973,,,,,,,,,,,,,TOR,76,37,36,73,C
Dave Keon,1973-1974,,,,,,,,,,,,,TOR,74,25,28,53,C
Dave Keon,1974-1975,,,,,,,,,,,,,TOR,78,16,43,59,C
Dave Keon,1975-1976,,,,,,,,,,,,,MFS,69,29,45,74,C
Dave Keon,1976-1977,,,,,,,,,,,,,NEW,76,27,63,90,C
Dave Keon,1977-1978,,,,,,,,,,,,,NEW,77,24,38,62,C
Dave Keon,1978-1979,,,,,,,,,,,,,NEW,79,22,43,65,C
Dave Keon,1979-1980,,,,,,,,,,,,,HAR,76,10,52,62,C
Dave Keon,1980-1981,,,,,,,,,,,,,HAR,80,13,34,47,C
Dave Keon,1981-1982,,,,,,,,,,,,,HAR,78,8,11,19,C
Phil Esposito,1963-1964,,,,,,,,,,,,,CBH,27,3,2,5,C
Phil Esposito,1964-1965,,,,,,,,,,,,,CBH,70,23,32,55,C
Phil Esposito,1965-1966,,,,,,,,,,,,,CBH,69,27,26,53,C
Phil Esposito,1966-1967,,,,,,,,,,,,,CBH,69,21,40,61,C
Phil Esposito,1967-1968,,,,,,,,,,,,,BOS,74,35,49,84,C
Phil Esposito,1968-1969,,,,,,,,,,,,,BOS,74,49,77,126,C
Phil Esposito,1969-1970,,,,,,,,,,,,,BOS,76,43,56,99,C
Phil Esposito,1970-1971,,,,,,,,,,,,,BOS,78,76,76,152,C
Phil Esposito,1971-1972,,,,,,,,,,,,,BOS,76,66,67,133,C
Phil Esposito,1972-1973,,,,,,,,,,,,,BOS,78,55,75,130,C
Phil Esposito,1973-1974,,,,,,,,,,,,,BOS,78,68,77,145,C
Phil Esposito,1974-1975,,,,,,,,,,,,,BOS,79,61,66,127,C
Phil Esposito,1975-1976,,,,,,,,,,,,,NYR,74,35,48,83,C
Phil Esposito,1976-1977,,,,,,,,,,,,,NYR,80,34,46,80,C
Phil Esposito,1977-1978,,,,,,,,,,,,,NYR,79,38,43,81,C
Phil Esposito,1978-1979,,,,,,,,,,,,,NYR,80,42,36,78,C
Phil Esposito,1979-1980,,,,,,,,,,,,,NYR,80,34,44,78,C
Phil Esposito,1980-1981,,,,,,,,,,,,,NYR,41,7,13,20,C
Yvan Cournoyer,1963-1964,,,,,,,,,,,,,MTL,5,4,0,4,RW
Yvan Cournoyer,1964-1965,,,,,,,,,,,,,MTL,55,7,10,17,RW
Yvan Cournoyer,1965-1966,,,,,,,,,,,,,MTL,65,18,11,29,RW
Yvan Cournoyer,1966-1967,,,,,,,,,,,,,MTL,69,25,15,40,RW
Yvan Cournoyer,1967-1968,,,,,,,,,,,,,MTL,64,28,32,60,RW
Yvan Cournoyer,1968-1969,,,,,,,,,,,,,MTL,76,43,44,87,RW
Yvan Cournoyer,1969-1970,,,,,,,,,,,,,MTL,72,27,36,63,RW
Yvan Cournoyer,1970-1971,,,,,,,,,,,,,MTL,65,37,36,73,RW
Yvan Cournoyer,1971-1972,,,,,,,,,,,,,MTL,73,47,36,83,RW
Yvan Cournoyer,1972-1973,,,,,,,,,,,,,MTL,67,40,39,79,RW
Yvan Cournoyer,1973-1974,,,,,,,,,,,,,MTL,67,40,33,73,RW
Yvan Cournoyer,1974-1975,,,,,,,,,,,,,MTL,76,29,45,74,RW
Yvan Cournoyer,1975-1976,,,,,,,,,,,,,MTL,71,32,36,68,RW
Yvan Cournoyer,1976-1977,,,,,,,,,,,,,MTL,60,25,28,53,RW
Yvan Cournoyer,1977-1978,,,,,,,,,,,,,MTL,68,24,29,53,RW
Yvan Cournoyer,1978-1979,,,,,,,,,,,,,MTL,15,2,5,7,RW
Serge Savard,1966-1967,,,,,,,,,,,,,MTL,2,0,0,0,D
Serge Savard,1967-1968,,,,,,,,,,,,,MTL,67,2,13,15,D
Serge Savard,1968-1969,,,,,,,,,,,,,MTL,74,8,23,31,D
Serge Savard,1969-1970,,,,,,,,,,,,,MTL,64,12,19,31,D
Serge Savard,1970-1971,,,,,,,,,,,,,MTL,37,5,10,15,D
Serge Savard,1971-1972,,,,,,,,,,,,,MTL,23,1,8,9,D
Serge Savard,1972-1973,,,,,,,,,,,,,MTL,74,7,32,39,D
Serge Savard,1973-1974,,,,,,,,,,,,,MTL,67,4,14,18,D
Serge Savard,1974-1975,,,,,,,,,,,,,MTL,80,20,40,60,D
Serge Savard,1975-1976,,,,,,,,,,,,,MTL,71,8,39,47,D
Serge Savard,1976-1977,,,,,,,,,,,,,MTL,78,9,33,42,D
Serge Savard,1977-1978,,,,,,,,,,,,,MTL,77,8,34,42,D
Serge Savard,1978-1979,,,,,,,,,,,,,MTL,80,7,26,33,D
Serge Savard,1979-1980,,,,,,,,,,,,,MTL,46,5,8,13,D
Serge Savard,1980-1981,,,,,,,,,,,,,MTL,77,4,13,17,D
Serge Savard,1981-1982,,,,,,,,,,,,,WIN,47,2,5,7,D
Serge Savard,1982-1983,,,,,,,,,,,,,WIN,76,4,16,20,D
Bobby Orr,1966-1967,,,,,,,,,,,,,BOS,61,13,28,41,D
Bobby Orr,1967-1968,,,,,,,,,,,,,BOS,46,11,20,31,D
Bobby Orr,1968-1969,,,,,,,,,,,,,BOS,67,21,43,64,D
Bobby Orr,1969-1970,,,,,,,,,,,,,BOS,76,33,87,120,D
Bobby Orr,1970-1971,,,,,,,,,,,,,BOS,78,37,102,139,D
Bobby Orr,1971-1972,,,,,,,,,,,,,BOS,76,37,80,117,D
Bobby Orr,1972-1973,,,,,,,,,,,,,BOS,63,29,72,101,D
Bobby Orr,1973-1974,,,,,,,,,,,,,BOS,74,32,90,122,D
Bobby Orr,1974-1975,,,,,,,,,,,,,BOS,80,46,89,135,D
Bobby Orr,1975-1976,,,,,,,,,,,,,BOS,10,5,13,18,D
Bobby Orr,1976-1977,,,,,,,,,,,,,CBH,20,4,19,23,D
Bobby Orr,1978-1979,,,,,,,,,,,,,CBH,6,2,2,4,D
Jacques Lemaire,1967-1968,,,,,,,,,,,,,MTL,69,22,20,42,C
Jacques Lemaire,1968-1969,,,,,,,,,,,,,MTL,75,29,34,63,LW
Jacques Lemaire,1969-1970,,,,,,,,,,,,,MTL,69,32,28,60,LW
Jacques Lemaire,1970-1971,,,,,,,,,,,,,MTL,78,28,28,56,LW
Jacques Lemaire,1971-1972,,,,,,,,,,,,,MTL,77,32,49,81,C
Jacques Lemaire,1972-1973,,,,,,,,,,,,,MTL,77,44,51,95,C
Jacques Lemaire,1973-1974,,,,,,,,,,,,,MTL,66,29,38,67,C
Jacques Lemaire,1974-1975,,,,,,,,,,,,,MTL,80,36,56,92,C
Jacques Lemaire,1975-1976,,,,,,,,,,,,,MTL,61,20,32,52,C
Jacques Lemaire,1976-1977,,,,,,,,,,,,,MTL,75,34,41,75,C
Jacques Lemaire,1977-1978,,,,,,,,,,,,,MTL,76,36,61,97,C
Jacques Lemaire,1978-1979,,,,,,,,,,,,,MTL,50,24,31,55,C
Brad Park,1968-1969,,,,,,,,,,,,,NYR,54,3,23,26,D
Brad Park,1969-1970,,,,,,,,,,,,,NYR,60,11,26,37,D
Brad Park,1970-1971,,,,,,,,,,,,,NYR,68,7,37,44,D
Brad Park,1971-1972,,,,,,,,,,,,,NYR,75,24,49,73,D
Brad Park,1972-1973,,,,,,,,,,,,,NYR,52,10,43,53,D
Brad Park,1973-1974,,,,,,,,,,,,,NYR,78,25,57,82,D
Brad Park,1974-1975,,,,,,,,,,,,,NYR,65,13,44,57,D
Brad Park,1975-1976,,,,,,,,,,,,,NYR,56,18,41,59,D
Brad Park,1976-1977,,,,,,,,,,,,,BOS,77,12,55,67,D
Brad Park,1977-1978,,,,,,,,,,,,,BOS,80,22,57,79,D
Brad Park,1978-1979,,,,,,,,,,,,,BOS,40,7,32,39,D
Brad Park,1979-1980,,,,,,,,,,,,,BOS,32,5,16,21,D
Brad Park,1980-1981,,,,,,,,,,,,,BOS,78,14,52,66,D
Brad Park,1981-1982,,,,,,,,,,,,,BOS,75,14,42,56,D
Brad Park,1982-1983,,,,,,,,,,,,,BOS,76,10,26,36,D
Brad Park,1983-1984,,,,,,,,,,,,,DET,80,5,53,58,D
Brad Park,1984-1985,,,,,,,,,,,,,DET,67,13,30,43,D
Bobby Clarke,1969-1970,,,,,,,,,,,,,PHI,76,15,31,46,C
Bobby Clarke,1970-1971,,,,,,,,,,,,,PHI,77,27,36,63,C
Bobby Clarke,1971-1972,,,,,,,,,,,,,PHI,78,35,46,81,C
Bobby Clarke,1972-1973,,,,,,,,,,,,,PHI,78,37,67,104,C
Bobby Clarke,1973-1974,,,,,,,,,,,,,PHI,77,35,52,87,C
Bobby Clarke,1974-1975,,,,,,,,,,,,,PHI,80,27,89,116,C
Bobby Clarke,1975-1976,,,,,,,,,,,,,PHI,76,30,89,119,C
Bobby Clarke,1976-1977,,,,,,,,,,,,,PHI,80,27,63,90,C
Bobby Clarke,1977-1978,,,,,,,,,,,,,PHI,71,21,68,89,C
Bobby Clarke,1978-1979,,,,,,,,,,,,,PHI,80,16,57,73,C
Bobby Clarke,1979-1980,,,,,,,,,,,,,PHI,76,12,57,69,C
Bobby Clarke,1980-1981,,,,,,,,,,,,,PHI,80,19,46,65,C
Bobby Clarke,1981-1982,,,,,,,,,,,,,PHI,62,17,46,63,C
Bobby Clarke,1982-1983,,,,,,,,,,,,,PHI,80,23,62,85,C
Bobby Clarke,1983-1984,,,,,,,,,,,,,PHI,73,17,43,60,C
Darryl Sittler,1970-1971,,,,,,,,,,,,,TOR,49,10,8,18,C
Darryl Sittler,1971-1972,,,,,,,,,,,,,TOR,74,15,17,32,C
Darryl Sittler,1972-1973,,,,,,,,,,,,,TOR,78,29,48,77,C
Darryl Sittler,1973-1974,,,,,,,,,,,,,TOR,78,38,46,84,C
Darryl Sittler,1974-1975,,,,,,,,,,,,,TOR,72,36,44,80,C
Darryl Sittler,1975-1976,,,,,,,,,,,,,TOR,79,41,59,100,C
Darryl Sittler,1976-1977,,,,,,,,,,,,,TOR,73,38,52,90,C
Darryl Sittler,1977-1978,,,,,,,,,,,,,TOR,80,45,72,117,C
Darryl Sittler,1978-1979,,,,,,,,,,,,,TOR,70,36,51,87,C
Darryl Sittler,1979-1980,,,,,,,,,,,,,TOR,73,40,57,97,C
Darryl Sittler,1980-1981,,,,,,,,,,,,,TOR,80,43,53,96,C
Darryl Sittler,1981-1982,,,,,,,,,,,,,PHI,73,32,38,70,C
Darryl Sittler,1982-1983,,,,,,,,,,,,,PHI,80,43,40,83,C
Darryl Sittler,1983-1984,,,,,,,,,,,,,PHI,76,27,36,63,C
Darryl Sittler,1984-1985,,,,,,,,,,,,,DET,61,11,16,27,C
Gilbert Perreault,1970-1971,,,,,,,,,,,,,BUF,78,38,34,72,C
Gilbert Perreault,1971-1972,,,,,,,,,,,,,BUF,76,26,48,74,C
Gilbert Perreault,1972-1973,,,,,,,,,,,,,BUF,78,28,60,88,C
Gilbert Perreault,1973-1974,,,,,,,,,,,,,BUF,55,18,33,51,C
Gilbert Perreault,1974-1975,,,,,,,,,,,,,BUF,68,39,57,96,C
Gilbert Perreault,1975-1976,,,,,,,,,,,,,BUF,80,44,69,113,C
Gilbert Perreault,1976-1977,,,,,,,,,,,,,BUF,80,39,56,95,C
Gilbert Perreault,1977-1978,,,,,,,,,,,,,BUF,79,41,48,89,C
Gilbert Perreault,1978-1979,,,,,,,,,,,,,BUF,79,27,58,85,C
Gilbert Perreault,1979-1980,,,,,,,,,,,,,BUF,80,40,66,106,C
Gilbert Perreault,1980-1981,,,,,,,,,,,,,BUF,56,20,39,59,C
Gilbert Perreault,1981-1982,,,,,,,,,,,,,BUF,62,31,42,73,C
Gilbert Perreault,1982-1983,,,,,,,,,,,,,BUF,77,30,46,76,C
Gilbert Perreault,1983-1984,,,,,,,,,,,,,BUF,73,31,59,90,C
Gilbert Perreault,1984-1985,,,,,,,,,,,,,BUF,78,30,53,83,C
